SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2016-2583,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2016-08-03,2016-08-04,Pacific oysters,ND,,,17,<RL,<RL,<LOQ,
BTX-2016-2584,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2016-08-03,2016-08-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2587,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-08-04,2016-08-05,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2588,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-08-04,2016-08-05,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,Additional flesh and wtaer samples requested
BTX-2016-2589,Swale,B076P,Swale BC,TR01316497,The Causeway,2016-08-04,2016-08-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2590,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2016-08-04,2016-08-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2606,North Kent Coast,B17BS,Canterbury CC,TR1028966852,WOCO Westbeach,2016-08-08,2016-08-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2607,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-08-08,2016-08-09,Mussels,Detected,<400,,248,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2608,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-08-08,2016-08-09,Mussels,Detected,<400,,241,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2609,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-08-08,2016-08-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2610,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-08-08,2016-08-09,Mussels,ND,,,891,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2611,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-08-08,2016-08-09,Mussels,,,,1949,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2612,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-08-08,2016-08-09,Mussels,,,,981,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2613,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-08-08,2016-08-09,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-2614,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-08-08,2016-08-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2615,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-08-08,2016-08-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2616,Ribble,B046C,West Lancashire DC,SD32802590,Point 31 Ribble Walls North,2016-08-08,2016-08-09,Mussels,ND,,,27,<RL,<RL,<LOQ,
BTX-2016-2643,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-08-09,2016-08-10,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2644,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-08-09,2016-08-10,Mussels,ND,,,23,<RL,<RL,<LOQ,
BTX-2016-2645,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-08-09,2016-08-10,Mussels,Detected,<400,,29,<RL,<RL,<LOQ,
BTX-2016-2646,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-08-09,2016-08-10,Mussels,ND,,,74,<RL,<RL,<LOQ,
BTX-2016-2647,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-08-09,2016-08-10,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2648,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2016-08-08,2016-08-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2649,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2016-08-08,2016-08-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2650,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2016-08-08,2016-08-10,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2651,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-08-09,2016-08-10,Mussels,ND,,,,,,,
BTX-2016-2652,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-08-08,2016-08-10,Mussels,,,,313,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2682,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-08-11,2016-08-12,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2683,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-08-11,2016-08-12,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2713,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2016-08-15,2016-08-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2714,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2016-08-15,2016-08-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2715,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-08-15,2016-08-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2716,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2016-08-15,2016-08-16,Pacific oysters,ND,,,,,,,
BTX-2016-2717,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2016-08-15,2016-08-16,Mussels,ND,,,,,,,
BTX-2016-2718,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-08-15,2016-08-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2719,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-08-15,2016-08-16,Mussels,ND,,,31,<RL,<RL,<LOQ,
BTX-2016-2720,The Fleet,B25AI,Weymouth PHA,SY66277627,Fleet Oysters,2016-08-16,2016-08-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2743,Colne,B012F,Colchester BC,TM0620416022,Pyefleet Spit,2016-08-16,2016-08-17,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2744,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-08-16,2016-08-17,Mussels,ND,,,38,<RL,<RL,<LOQ,
BTX-2016-2745,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-08-16,2016-08-17,Mussels,ND,,,67,<RL,<RL,<LOQ,
BTX-2016-2746,Camel,B35AE,Cornwall CC,SW93427530,Porthilly Rock B,2016-08-16,2016-08-17,Mussels,ND,,,87,<RL,<RL,1.6,Additional flesh and water samples requested
BTX-2016-2747,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-08-16,2016-08-17,Mussels,Detected,<400,,31,<RL,<RL,<LOQ,
BTX-2016-2748,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-08-16,2016-08-17,Native oysters,ND,,,23,<RL,<RL,<LOQ,
BTX-2016-2749,Dee,B45AB,Flintshire CC,SJ1779880428,Salisbury,2016-08-16,2016-08-17,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2750,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2016-08-16,2016-08-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2751,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-08-16,2016-08-17,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2752,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-08-16,2016-08-17,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2753,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-08-15,2016-08-17,Mussels,,,,343,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2754,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-08-16,2016-08-17,Mussels,,,,525,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2770,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-08-17,2016-08-18,Mussels,Detected,<400,,151,<RL,<RL,<LOQ,Addiitional Flesh and Water samples have been requested
BTX-2016-2771,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-08-17,2016-08-18,Mussels,Detected,<400,,195,<RL,<RL,<LOQ,Addiitional Flesh and Water samples have been requested
BTX-2016-2772,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-08-17,2016-08-18,Mussels,,,,2013,<RL,<RL,,Addiitional Flesh and Water samples have been requested
BTX-2016-2773,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-08-17,2016-08-18,Mussels,ND,,,1043,<RL,<RL,<LOQ,Addiitional Flesh and Water samples have been requested
BTX-2016-2774,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2016-08-17,2016-08-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2775,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-08-17,2016-08-18,Pacific oysters,Detected,<400,,<RL,<RL,<RL,,
BTX-2016-2776,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-08-17,2016-08-18,Hard clams,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-2777,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-08-17,2016-08-18,Pacific oysters,Detected,<400,,<RL,<RL,<RL,1.1,
BTX-2016-2778,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point ,2016-08-17,2016-08-18,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2779,Burry Inlet,B038I,City and Council of Swansea,SS50509590,South East 4,2016-08-17,2016-08-18,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-2780,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2016-08-17,2016-08-18,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2789,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-08-18,2016-08-19,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2790,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2016-08-18,2016-08-19,Pacific oysters,ND,,,,,,,
BTX-2016-2816,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-08-22,2016-08-23,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2817,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-08-22,2016-08-23,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-2818,Start Bay,B087J,South Hams DC,SX82504197,Off Torcross,2016-08-22,2016-08-23,Surf clams,ND,,,21,<RL,<RL,2.3,
BTX-2016-2819,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-08-22,2016-08-23,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2820,The Fleet,B25AI,Weymouth PHA,SY66777627,Fleet Oysters,2016-08-23,2016-08-23,Pacific oysters,ND,,,,,,,
BTX-2016-2821,Roach,B73AF,London PHA,TQ94909207,Paglesham,2016-08-22,2016-08-23,Hard clams,,,,,,,<LOQ,
BTX-2016-2852,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2016-08-23,2016-08-24,Mussels,ND,,,33,<RL,<RL,<LOQ,
BTX-2016-2853,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2016-08-23,2016-08-24,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2854,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-08-23,2016-08-24,Mussels,ND,,,60,<RL,<RL,<LOQ,
BTX-2016-2855,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-08-23,2016-08-24,Mussels,ND,,,90,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2856,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-08-23,2016-08-24,Mussels,ND,,,67,<RL,<RL,<LOQ,
BTX-2016-2857,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-08-23,2016-08-24,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2858,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-08-23,2016-08-24,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2859,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2016-08-23,2016-08-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2860,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-08-23,2016-08-24,Pacific oysters,ND,,,,,,,
BTX-2016-2861,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-08-23,2016-08-24,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2862,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-08-23,2016-08-24,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2863,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-08-23,2016-08-24,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2864,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-08-23,2016-08-24,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2865,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-08-23,2016-08-24,Mussels,,,,99,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2881,Camel,B35AE,Cornwall CC,SW93427530,Porthilly Rock B,2016-08-24,2016-08-25,Mussels,,,,45,<RL,<RL,,
BTX-2016-2882,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-08-24,2016-08-25,Mussels,Detected,?400,512,168,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2883,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-08-24,2016-08-25,Mussels,Detected,<400,,168,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2884,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-08-24,2016-08-25,Mussels,,,,1133,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2885,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-08-24,2016-08-25,Mussels,ND,,,647,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2886,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2016-08-24,2016-08-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2887,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2016-08-24,2016-08-25,Mussels,ND,,,,,,,
BTX-2016-2888,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-08-23,2016-08-25,Mussels,,,,193,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2889,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-08-24,2016-08-25,Mussels,,,,237,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2890,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2016-08-24,2016-08-25,Pacific oysters,,,,,,,<LOQ,
BTX-2016-2891,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2016-08-24,2016-08-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2892,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2016-08-24,2016-08-25,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2941,Burry Inlet,B038B,Carmarthenshire CC,SS48009850,North (West),2016-08-30,2016-08-31,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-2942,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-08-30,2016-08-31,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2943,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-08-30,2016-08-31,Mussels,ND,,,102,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2944,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-08-30,2016-08-31,Mussels,ND,,,46,<RL,<RL,<LOQ,
BTX-2016-2945,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-08-30,2016-08-31,Mussels,ND,,,38,<RL,<RL,<LOQ,
BTX-2016-2946,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-08-30,2016-08-31,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2965,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-08-31,2016-09-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2966,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-08-31,2016-09-01,Mussels,Detected,<400,,158,<RL,<RL,<LOQ,
BTX-2016-2967,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-08-31,2016-09-01,Mussels,Detected,<400,,978,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2968,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-08-31,2016-09-01,Mussels,ND,,,646,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-2969,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-08-31,2016-09-01,Mussels,,,,713,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2970,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2016-08-30,2016-09-01,Mussels,ND,,,,,,,
BTX-2016-2971,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-08-31,2016-09-01,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2972,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2016-08-31,2016-09-01,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2973,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2016-08-31,2016-09-01,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2974,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-08-30,2016-09-01,Mussels,,,,718,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2975,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-08-31,2016-09-01,Mussels,,,,278,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2976,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-08-31,2016-09-01,Mussels,,,,285,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-2977,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-08-30,2016-09-01,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2979,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2016-09-01,2016-09-02,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2980,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-09-01,2016-09-02,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2981,Porlock,B094D,West Somerset Council,SS87114787,Porlock East,2016-09-01,2016-09-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2982,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2016-09-01,2016-09-02,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2983,Roach,B73AF,London PHA,TQ94909207,Paglesham,2016-09-01,2016-09-02,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-2999,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2016-09-05,2016-09-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3000,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2016-09-04,2016-09-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3001,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2016-09-04,2016-09-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3002,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2016-09-05,2016-09-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3003,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2016-09-05,2016-09-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3004,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2016-09-05,2016-09-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3005,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2016-09-05,2016-09-06,Mussels,ND,,,25,<RL,<RL,<LOQ,
BTX-2016-3006,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW corner,2016-09-05,2016-09-06,Mussels,,,,197,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-3007,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2016-09-05,2016-09-06,Mussels,,,,313,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-3008,Lune,B066Y,Wyre BC,SD34504722,Sea Centre South,2016-09-05,2016-09-06,Mussels,ND,,,52,<RL,<RL,<LOQ,
BTX-2016-3038,North Kent Coast,B17BS,Canterbury CC,TR10296690,WOCO Westbeach,2016-09-06,2016-09-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3039,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2016-09-06,2016-09-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3040,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2016-09-06,2016-09-07,Mussels,Detected,<400,,606,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-3041,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2016-09-06,2016-09-07,Mussels,Detected,<400,,495,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-3042,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2016-09-06,2016-09-07,Mussels,,,,1129,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-3043,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2016-09-06,2016-09-07,Mussels,ND,,,741,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-3044,The Wash,B003V,Boston BC,TF44234098,Toft,2016-09-05,2016-09-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3045,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2016-09-06,2016-09-07,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3046,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2016-09-06,2016-09-07,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3047,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2016-09-06,2016-09-07,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3048,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2016-09-06,2016-09-07,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3049,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2016-09-06,2016-09-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3050,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2016-09-06,2016-09-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3051,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2016-09-06,2016-09-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3052,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2016-09-06,2016-09-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3053,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2016-09-06,2016-09-07,Mussels,ND,,,,,,,
BTX-2016-3054,Lyme Bay,B090M,Torbay BC,Unverified,Site 1,2016-09-05,2016-09-07,Mussels,,,,469,<RL,<RL,,Additional flesh and water samples requested
BTX-2016-3073,Chichester Harbour,B018P,Chichester DC,SU77760479,Hambrook,2016-09-07,2016-09-08,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3074,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan ,2016-09-07,2016-09-08,Mussels,ND,,,75,<RL,<RL,<LOQ,
BTX-2016-3075,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2016-09-07,2016-09-08,Mussels,ND,,,22,<RL,<RL,<LOQ,
BTX-2016-3076,Fal,B33AN,Cornwall PHA,SW81963546,Mylor Creek,2016-09-07,2016-09-08,Mussels,ND,,,141,<RL,<RL,<LOQ,Additional flesh and water samples requested
BTX-2016-3077,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2016-09-07,2016-09-08,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2016-3078,Dee,B45AB,Flintshire CC,SJ1779880428,Salisbury,2016-09-07,2016-09-08,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3079,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2016-09-07,2016-09-08,Pacific oysters,ND,,,,,,,
BTX-2016-3080,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2016-09-07,2016-09-08,Pacific oysters,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX-2016-3081,Swale,B076P,Swale BC,TR01316497,The Causeway,2016-09-07,2016-09-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
